timestamp,actor,action,details
2025-01-03T09:00:00,Admin,Disable RSTP,"Investigating issue, blocked for 17h"
2025-01-03T09:00:00,System,update,"{'old_action': <ActionType.ALLOW: 'allow'>, 'new_action': <ActionType.DENY: 'deny'>, 'throttle': None, 'qos': 0}"
2025-01-04T02:00:00,Admin (Auto-Revert),Revert RSTP to allow,Planned maintenance end
2025-01-04T02:00:00,System,update,"{'old_action': <ActionType.DENY: 'deny'>, 'new_action': <ActionType.ALLOW: 'allow'>, 'throttle': None, 'qos': 0}"
2025-01-08T13:00:00,Admin,Throttle HTTP to 210kbps,Bandwidth management for 34h (traffic was high)
2025-01-08T13:00:00,System,update,"{'old_action': <ActionType.ALLOW: 'allow'>, 'new_action': <ActionType.THROTTLE: 'throttle'>, 'throttle': 210, 'qos': 0}"
2025-01-09T10:00:00,Admin,Disable RSTP,"Investigating issue, blocked for 17h"
2025-01-09T10:00:00,System,update,"{'old_action': <ActionType.ALLOW: 'allow'>, 'new_action': <ActionType.DENY: 'deny'>, 'throttle': None, 'qos': 0}"
2025-01-09T23:00:00,Admin (Auto-Revert),Revert HTTP to allow,End throttling
2025-01-09T23:00:00,System,update,"{'old_action': <ActionType.THROTTLE: 'throttle'>, 'new_action': <ActionType.ALLOW: 'allow'>, 'throttle': 210, 'qos': 0}"
2025-01-10T03:00:00,Admin (Auto-Revert),Revert RSTP to allow,Planned maintenance end
2025-01-10T03:00:00,System,update,"{'old_action': <ActionType.DENY: 'deny'>, 'new_action': <ActionType.ALLOW: 'allow'>, 'throttle': None, 'qos': 0}"
2025-01-10T12:00:00,Admin,Throttle RSTP to 377kbps,Bandwidth management for 11h (traffic was high)
2025-01-10T12:00:00,System,update,"{'old_action': <ActionType.ALLOW: 'allow'>, 'new_action': <ActionType.THROTTLE: 'throttle'>, 'throttle': 377, 'qos': 0}"
2025-01-10T15:00:00,System,reset_defaults,All protocols reset to ALLOW
2025-01-10T17:00:00,System,reset_defaults,All protocols reset to ALLOW
2025-01-10T23:00:00,Admin (Auto-Revert),Revert RSTP to allow,End throttling
2025-01-10T23:00:00,System,update,"{'old_action': <ActionType.ALLOW: 'allow'>, 'new_action': <ActionType.ALLOW: 'allow'>, 'throttle': None, 'qos': 0}"
2025-01-13T09:00:00,Admin,Throttle RSTP to 880kbps,Bandwidth management for 38h (traffic was high)
2025-01-13T09:00:00,System,update,"{'old_action': <ActionType.ALLOW: 'allow'>, 'new_action': <ActionType.THROTTLE: 'throttle'>, 'throttle': 880, 'qos': 0}"
2025-01-13T11:00:00,Admin,Disable FTP,"Investigating issue, blocked for 8h"
2025-01-13T11:00:00,System,update,"{'old_action': <ActionType.ALLOW: 'allow'>, 'new_action': <ActionType.DENY: 'deny'>, 'throttle': None, 'qos': 0}"
2025-01-13T12:00:00,System,reset_defaults,All protocols reset to ALLOW
2025-01-13T14:00:00,System,reset_defaults,All protocols reset to ALLOW
2025-01-13T19:00:00,Admin (Auto-Revert),Revert FTP to allow,Planned maintenance end
2025-01-13T19:00:00,System,update,"{'old_action': <ActionType.ALLOW: 'allow'>, 'new_action': <ActionType.ALLOW: 'allow'>, 'throttle': None, 'qos': 0}"
2025-01-14T23:00:00,Admin (Auto-Revert),Revert RSTP to allow,End throttling
2025-01-14T23:00:00,System,update,"{'old_action': <ActionType.ALLOW: 'allow'>, 'new_action': <ActionType.ALLOW: 'allow'>, 'throttle': None, 'qos': 0}"
2025-01-15T10:00:00,Admin,Throttle RSTP to 882kbps,Bandwidth management for 16h (traffic was high)
2025-01-15T10:00:00,System,update,"{'old_action': <ActionType.ALLOW: 'allow'>, 'new_action': <ActionType.THROTTLE: 'throttle'>, 'throttle': 882, 'qos': 0}"
