condition_met_time,scheduled_crash_time,rstp_throttled,rstp_volume_bytes,workstation_count,hour,delay_hours
2025-01-10T12:00:00,2025-01-10T15:00:00,True,556320,91,12,3
2025-01-10T13:00:00,2025-01-10T16:00:00,True,151560,91,13,3
2025-01-10T14:00:00,2025-01-10T17:00:00,True,241440,91,14,3
2025-01-13T09:00:00,2025-01-13T12:00:00,True,503040,92,9,3
2025-01-13T10:00:00,2025-01-13T13:00:00,True,553200,92,10,3
2025-01-13T11:00:00,2025-01-13T14:00:00,True,477960,92,11,3
2025-01-15T10:00:00,2025-01-15T13:00:00,True,412080,91,10,3
2025-01-23T16:00:00,2025-01-23T19:00:00,True,271560,92,16,3
2025-01-23T17:00:00,2025-01-23T20:00:00,True,240900,92,17,3
2025-01-27T10:00:00,2025-01-27T13:00:00,True,662040,92,10,3
2025-01-27T11:00:00,2025-01-27T14:00:00,True,211020,92,11,3
