timestamp,actor,action,details
2025-01-06T11:00:00,Admin,Throttle RSTP to 798kbps,Bandwidth management for 22h (traffic was high)
2025-01-06T11:00:00,System,update,"{'old_action': <ActionType.ALLOW: 'allow'>, 'new_action': <ActionType.THROTTLE: 'throttle'>, 'throttle': 798, 'qos': 0}"
2025-01-06T14:00:00,System,reset_defaults,All protocols reset to ALLOW
2025-01-06T16:00:00,System,reset_defaults,All protocols reset to ALLOW
2025-01-07T09:00:00,Admin (Auto-Revert),Revert RSTP to allow,End throttling
2025-01-07T09:00:00,System,update,"{'old_action': <ActionType.ALLOW: 'allow'>, 'new_action': <ActionType.ALLOW: 'allow'>, 'throttle': None, 'qos': 0}"
2025-01-07T17:00:00,Admin,Throttle DNS to 334kbps,Bandwidth management for 46h (traffic was high)
2025-01-07T17:00:00,System,update,"{'old_action': <ActionType.ALLOW: 'allow'>, 'new_action': <ActionType.THROTTLE: 'throttle'>, 'throttle': 334, 'qos': 0}"
2025-01-08T14:00:00,Admin,Disable SMB,"Investigating issue, blocked for 10h"
2025-01-08T14:00:00,System,update,"{'old_action': <ActionType.ALLOW: 'allow'>, 'new_action': <ActionType.DENY: 'deny'>, 'throttle': None, 'qos': 0}"
2025-01-09T00:00:00,Admin (Auto-Revert),Revert SMB to allow,Planned maintenance end
2025-01-09T00:00:00,System,update,"{'old_action': <ActionType.DENY: 'deny'>, 'new_action': <ActionType.ALLOW: 'allow'>, 'throttle': None, 'qos': 0}"
2025-01-09T15:00:00,Admin (Auto-Revert),Revert DNS to allow,End throttling
2025-01-09T15:00:00,System,update,"{'old_action': <ActionType.THROTTLE: 'throttle'>, 'new_action': <ActionType.ALLOW: 'allow'>, 'throttle': 334, 'qos': 0}"
2025-01-09T16:00:00,Admin,Throttle RSTP to 289kbps,Bandwidth management for 43h (traffic was high)
2025-01-09T16:00:00,System,update,"{'old_action': <ActionType.ALLOW: 'allow'>, 'new_action': <ActionType.THROTTLE: 'throttle'>, 'throttle': 289, 'qos': 0}"
2025-01-09T19:00:00,System,reset_defaults,All protocols reset to ALLOW
2025-01-09T21:00:00,System,reset_defaults,All protocols reset to ALLOW
2025-01-11T11:00:00,Admin (Auto-Revert),Revert RSTP to allow,End throttling
2025-01-11T11:00:00,System,update,"{'old_action': <ActionType.ALLOW: 'allow'>, 'new_action': <ActionType.ALLOW: 'allow'>, 'throttle': None, 'qos': 0}"
